overview.md	e1e9e7e4-8262-4240-a71d-7aa6385536d2	2026-06-12 - Theta Desk Mission and Overview
architecture.md	e1e9e7e4-8262-4240-a71d-7aa6385536d2	2026-06-12 - How Theta Desk Works: Pipeline Architecture
product-action-sheet.md	bdf8f2f0-66c5-41eb-af1a-34acae340c6a	2026-06-12 - Product: The Daily Wheel Strategy Action Sheet
pricing-x402.md	bdf8f2f0-66c5-41eb-af1a-34acae340c6a	2026-06-12 - Pricing: Pay-Per-Fetch via x402 Micropayments
methodology.md	bdf8f2f0-66c5-41eb-af1a-34acae340c6a	2026-06-12 - Screening Methodology: The Factors
competitor-option-samurai.md	78efc14c-fbdd-4222-a678-7a0eecba41d7	2026-06-12 - Competitor: Option Samurai
competitor-barchart.md	78efc14c-fbdd-4222-a678-7a0eecba41d7	2026-06-12 - Competitor: Barchart Premier
competitor-chameleon-optionstrat.md	78efc14c-fbdd-4222-a678-7a0eecba41d7	2026-06-12 - Competitors: Market Chameleon and OptionStrat
wheel-strategy.md	21cde1d1-203b-459d-86d5-0ac89a96a2e4	2026-06-12 - The Wheel Strategy, Explained
agent-economy.md	21cde1d1-203b-459d-86d5-0ac89a96a2e4	2026-06-12 - The Agent Economy: x402 and Machine-Payable Research
case-demo-bot.md	0461de7e-0a5a-4c56-aa35-a09cbbe6fd86	2026-06-12 - Scenario: A Trading Bot That Buys Its Own Research
faq.md	9d0c8895-8fcb-4cf0-aefe-f31654eb3e68	2026-06-12 - Theta Desk FAQ
